Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage,Kill #,Notes
83,2:16:01,Grog,Attack,31,16,,,,Dwarven Thrower Reckless (thrown)
83,2:16:14,Grog,Damage,25,,,25 Bludgeoning to Raishan,,
83,2:19:14,Vax'ildan,Dexterity Save,27,17,,,,Evasion
83,2:19:20,Vex'ahlia,Dexterity Save,Nat1,1,,13 Bludgeoning to Vex'ahlia,,Vex'ahlia is prone
83,2:19:20,Grog,Dexterity Save,Unknown,Unknown,,,,Disregarded due to advantage
83,2:19:20,Grog,Dexterity Save,17,15,,6 (13/2) Bludgeoning to Grog,,
83,2:20:29,Vax'ildan,Attack,Nat6,6,,,,Disregarded due to Luck
83,2:20:29,Vax'ildan,Attack,31,18,,,,Whisper AoO SA
83,2:20:53,Vax'ildan,Damage,25,,,25 Piercing/Psychic to Raishan,,
83,2:25:48,Pike,Wisdom,9,4,,,,"Revivify Fails, Scanlan is still dead"
83,2:27:34,Pike,Healing,11,,,,,"Healing Word (2nd), Pike heals 11 points"
83,2:31:26,Keyleth,Healing,Unknown,,,,,"Keyleth heals unknown, is at 28 HP"
83,2:32:24,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
83,2:32:24,Vax'ildan,Attack,32,19,,,,Whisper with Divine Smite with advantage
83,2:32:53,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage
83,2:32:53,Vax'ildan,Attack,27,16,,,,Dagger of Venom with advantage
83,2:33:31,Vax'ildan,Damage,53,,,53 to Raishan,,
83,2:33:45,Vax'ildan,Damage,8,,,8 to Raishan,,
83,2:34:08,Vax'ildan,Acrobatics,25,10,,,,Possible RT use
83,2:34:49,Keyleth,Damage,13,,,13 to Raishan,,Feeblemind
83,2:36:47,Vex'ahlia,Attack,17,3,,,,Fenthras
83,2:26:59,Vex'ahlia,Attack,18,4,,,,Fenthras
83,2:39:07,Percy,Attack,19,7,,,,Dragonslayer Longsword
83,2:39:18,Percy,Attack,22,10,,,,Dragonslayer Longsword with Cabal's Ruin
83,2:39:24,Percy,Attack,28,16,,,,Dragonslayer Longsword
83,2:39:43,Percy,Damage,32,,,32 (22 Slashing + 10 Lightning) to Raishan,,
83,2:40:05,Percy,Damage,21,,,21 Slashing to Raishan,,
83,2:42:47,Kerrek,Attack,20,12,,,,Dusk Warhammer
83,2:42:55,Kerrek,Attack,Unknown,Unknown,,,,Dusk Warhammer
83,2:45:38,Grog,Athletics,Nat20,20,,,,
83,2:46:14,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
83,2:46:14,Grog,Attack,30,15,,,,Dwarven Thrower Reckless (thrown)
83,2:46:24,Grog,Damage,23,,,23 to Raishan,,
83,2:46:48,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
83,2:46:48,Grog,Attack,24,9,,,,Dwarven Thrower Reckless (thrown)
83,2:47:01,Grog,Damage,23,,,23 to Raishan,,
83,2:47:20,Grog,Attack,Unknown,Unknown,,,,Disregarded due to advantage
83,2:47:20,Grog,Attack,27,12,,,,Dwarven Thrower Reckless (thrown)
83,2:47:34,Grog,Damage,26,,,26 to Raishan,,
83,2:48:45,Kerrek,Attack,26,18,,,,Dusk Warhammer with Divine Smite (2nd)
83,2:48:52,Kerrek,Attack,20,12,,,,Dusk Warhammer
83,2:49:51,Kerrek,Damage,28,,,28 to Raishan,1,HDYWTDT
83,3:09:37,Pike,Wisdom,11,6,,,,"Revivify, Percy is alive"
83,3:16:29,Keyleth,Investigation,7,5,,,,
83,3:17:23,Vex'ahlia,Healing,24,,,,,"Cure Wounds (3rd), Percy heals 24 points"
83,3:17:01,Vax'ildan,Investigation,Nat1,1,,,,Disregarded due to Luck
83,3:17:22,Vax'ildan,Investigation,Nat1,1,,,,With Luck
83,3:17:22,Grog,Strength,Unknown,Unknown,,,,Disregarded due to advantage
83,3:17:22,Grog,Strength,26,19,,,,With advantage
83,3:22:01,Kerrek,Constitution Save,18,14,,,,"Against Symbol (Pain), Kerrek is locked in pain"
83,3:28:42,Keyleth,Damage,27,,,54 (27 to FS 1 + 27 to FS 2) Radiant,,Sunbeam
83,3:30:00,Percy,Attack,16,2,,,,Animus Sharpshooter Piercing
83,3:30:00,Percy,Attack,Unknown,Unknown,,,,Animus Sharpshooter Piercing
83,3:30:00,Percy,Attack,Unknown,Unknown,,,,Animus Sharpshooter Piercing
83,3:30:34,Percy,Damage,32,,,"38 {19 [14 (27/2) +5 Psychic] to FS1 + 
19 [14 (27/2) +5 Psychic] to FS2}",,
83,3:30:52,Percy,Damage,32,,,"36 {18 [14 (28/2) + 4 Psychic] to FS1 + 
18 [14 (28/2) + 4 Psychic to FS2}",2,
83,3:31:24,Percy,Damage,21,,,"22 {11 [10 (20/2) + 1 Psychic] to FS 3 + 
11[10 (10/2) + 1 Psychic to FS4}",,
83,3:31:48,Pike,Damage,22,,,22 Radiant to FS3,,Sacred Flame
83,3:32:28,Vex'ahlia,Attack,Unknown,Unknown,,,,Fenthras
83,3:32:34,Vex'ahlia,Attack,Unknown,Unknown,,,,Fenthras
83,3:32:58,Vex'ahlia,Damage,17,,,17 to FS4,,
83,3:34:38,Kerrek,Attack,19,11,,,,Dusk Warhammer with Divine Smite
83,3:34:49,Kerrek,Attack,18,10,,,,Dusk Warhammer with Divine Smite
83,3:35:20,Kerrek,Damage,25,,,25 Radiant to FS4,,
83,3:35:48,Kerrek,Damage,31,,,31 Radiant to FS4,1,
83,3:39:15,Keyleth,Arcana,Unknown,Unknown,,,,
83,3:39:21,Percy,Arcana,22,17,,,,
83,3:42:18,Keyleth,Constitution Save,22,15,,,,Concentration
83,3:46:08,Keyleth,Perception,Nat20,20,,,,
83,3:48:48,Vex'ahlia,Athletics,13,10,,,,
83,3:53:37,Keyleth,Constitution Save,16,9,,,,Concentration with advantage
83,3:53:37,Keyleth,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
83,4:09:43,Vex'ahlia,Investigation,23,16,,,,
83,4:13:50,Vex'ahlia,Persuasion,25,17,,,,
