Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-03,1:54:12,Fearne,History,16,,,,,
ExU1-03,1:58:46,Opal,Persuasion,Unknown,Unknown,,,,
ExU1-03,1:58:46,Opal,Persuasion,11,,,,,
ExU1-03,1:59:49,Dariax,Persuasion,22,,,,,
ExU1-03,2:31:20,Dorian,Persuasion,19,,,,,
ExU1-03,2:35:38,Dariax,Persuasion,14,,,,,
ExU1-03,2:41:29,Opal,Persuasion,13,,,,,
ExU1-03,2:53:24,Fearne,Performance,Unknown,Unknown,,,,disregarded due to advantage
ExU1-03,2:53:24,Fearne,Performance,21,,,,,
ExU1-03,2:56:44,Dariax,d20,3,,,,,
ExU1-03,2:58:00,Dariax,Perception,Nat1,1,,,,
ExU1-03,2:58:32,Dorian,Perception,10,,,,,
ExU1-03,2:58:32,Opal,Perception,10,,,,,
ExU1-03,2:58:34,Orym,Perception,Unknown,Unknown,,,,disregarded due to advantage
ExU1-03,2:58:34,Orym,Perception,20,,,,,
ExU1-03,2:58:36,Fearne,Perception,19,,,,,
ExU1-03,2:59:58,Orym,Dexterity Save,22,,,,,
ExU1-03,3:05:32,Dorian,Deception,18,13,,,,add 2 extra to mod
