Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-04,2:27:48,Dariax,Wisdom Save,Unknown,,,,,disregarded due to advantage (Favored by the Gods)
ExU1-04,2:27:48,Dariax,Wisdom Save,16,,,,,
ExU1-04,2:27:48,Orym,Wisdom Save,Unknown,Unknown,,,,disregarded due to advantage (DM inspiration)
ExU1-04,2:27:48,Orym,Wisdom Save,28,,,,,
ExU1-04,2:27:48,Opal,Wisdom Save,18,,,,,
ExU1-04,2:30:17,Fearne,History,8,,,,,
ExU1-04,2:33:01,Fearne,Persuasion,12,,,,,
ExU1-04,2:34:02,Fy'ra,Intelligence,15,,,,,
ExU1-04,2:37:10,Opal,Wisdom Save,9,,,,,
ExU1-04,2:40:19,Fy'ra,Perception,Unknown,,,,,disregarded due to disadvantage
ExU1-04,2:40:19,Fy'ra,Perception,13,,,,,
ExU1-04,2:41:31,Fy'ra,Arcana,15,,,,,
ExU1-04,2:44:32,Fearne,Persuasion,21,,,,,
ExU1-04,2:51:32,Orym,Insight,15,,,,,disregarded due to advantage
ExU1-04,2:51:32,Orym,Insight,19,,,,,
ExU1-04,3:09:19,Orym,Dexterity Save,21,,,,,
ExU1-04,3:10:25,Orym,Other,1,,,,,"d8, pie success"
ExU1-04,3:17:12,Orym,Other,6,,,,,"d6, interview order (as Cinna)"
ExU1-04,3:17:12,Dariax,Other,5,,,,,"d6, interview order"
ExU1-04,3:17:12,Opal,Other,5,,,,,"d6, interview order"
ExU1-04,3:19:23,Orym,Persuasion,5,,,,,as Cinna
ExU1-04,3:22:14,Dariax,Persuasion,Nat1,1,,,,
ExU1-04,3:26:57,Dorian,Persuasion,Unknown,,,,,disregarded due to disadvantage
ExU1-04,3:26:57,Dorian,Persuasion,10,,,,,
ExU1-04,3:30:07,Fy'ra,Persuasion,21,,,,,as Lisle
ExU1-04,3:31:28,Fearne,Persuasion,Nat1,1,,,,
ExU1-04,3:33:10,Fearne,Other,6,,,,,"d6, talent order"
ExU1-04,3:35:11,Opal,Perception,Nat20,20,,,,
ExU1-04,3:39:11,Fy'ra,Animal Handling,8,,,,,as Lisle
ExU1-04,3:39:44,Fy'ra,Dexterity Save,20,,,,,as Lisle
ExU1-04,3:40:30,Fy'ra,Performance,Unknown,,,,,"as Lisle, with advantage"
ExU1-04,3:40:30,Fy'ra,Performance,15,,,,,
ExU1-04,3:41:42,Orym,Constitution Save,19,,,,,
ExU1-04,3:43:07,Orym,Attack,19,,,,,"as Cinna, handaxe against Orym"
ExU1-04,3:43:47,Orym,Attack,23,17,,,,"as Cinna, handaxe against Orym"
ExU1-04,3:44:57,Orym,Attack,Nat20,20,,,,"as Cinna, handaxe against Orym"
ExU1-04,3:44:57,Orym,Performance,Unknown,Unknown,,,,"as Cinna, disregarded due to advantage"
ExU1-04,3:44:57,Orym,Performance,17,,,,,as Cinna
ExU1-04,3:49:44,Opal,Performance,,2,,,,
ExU1-04,3:51:04,Dorian,Performance,17,,,,,
ExU1-04,3:51:15,Fearne,Performance,22,,,,,
ExU1-04,3:52:05,Dariax,Performance,Unknown,Unknown,,,,disregarded due to advantage
ExU1-04,3:52:05,Dariax,Performance,18,,,,,
ExU1-04,3:52:25,Opal,Performance,Unknown,Unknown,,,,disregarded due to advantage
ExU1-04,3:52:25,Opal,Performance,20,,,,,with Bardic Inspiration
ExU1-04,3:56:07,Dariax,Other,5,,,,,"d6, evening gown order"
ExU1-04,3:56:07,Fearne,Other,5,,,,,"d6, evening gown order"
ExU1-04,3:59:53,Dariax,d20,Unknown,Unknown,,,,disregarded due to advantage
ExU1-04,3:59:53,Dariax,d20,12,,,,,
ExU1-04,4:02:08,Dorian,d20,Unknown,Unknown,,,,disregarded due to advantage
ExU1-04,4:02:08,Dorian,d20,20,,,,,plus 6
ExU1-04,4:04:36,Fy'ra,d20,Unknown,Unknown,,,,"as Lisle, disregarded due to advantage"
ExU1-04,4:04:36,Fy'ra,d20,15,,,,,plus 2
ExU1-04,4:06:33,Opal,d20,13,,,,,plus 6
ExU1-04,4:08:05,Opal,d20,22,,,,,plus 6
ExU1-04,4:10:22,Orym,d20,21,,,,,"as Cinna, plus 5"
ExU1-04,4:12:17,Fearne,d20,Unknown,Unknown,,,,disregarded due to advantage
ExU1-04,4:12:17,Fearne,d20,22,,,,,plus 6
ExU1-04,4:18:27,Fy'ra,Perception,5,,,,,
ExU1-04,4:22:00,Fearne,Hit Dice,1,,,,,disregarded
ExU1-04,4:22:40,Dariax,Hit Dice,2,,,,,
ExU1-04,4:22:43,Fy'ra,Hit Dice,8,,,,,
ExU1-04,4:23:23,Dorian,Hit Dice,4,,,,,
ExU1-04,4:23:25,Orym,Hit Dice,9,,,,,
ExU1-04,4:23:32,Fearne,Hit Dice,3,,,,,
ExU1-04,4:23:44,Opal,Hit Dice,6,,,,,
