Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
ExU1-05,2:49:50,Orym,Attack,13,,,,,Sword against Crocodile
ExU1-05,2:51:28,Dariax,Damage,19,,,19 Fire to Crocodile,,
ExU1-05,2:53:10,Fearne,Nature,18,,,,,
ExU1-05,2:55:59,Fy'ra,Attack,19,,,,,Staff (expanded) against Crocodile
ExU1-05,2:56:27,Fy'ra,Damage,11,,,11 to Crocodile,,
ExU1-05,2:56:53,Fy'ra,Attack,Unknown,Unknown,,,,disregarded due to advantage
ExU1-05,2:56:53,Fy'ra,Attack,25,19,,,,Staff (contracted) against Crocodile
ExU1-05,2:56:57,Fy'ra,Attack,11,,,,,disregarded due to advantage
ExU1-05,2:56:57,Fy'ra,Attack,18,,,,,Staff (contracted) against Crocodile
ExU1-05,2:57:09,Fy'ra,Damage,4,,,4 to Crocodile,,
ExU1-05,2:57:12,Fy'ra,Damage,8,,,8 to Crocodile,,
ExU1-05,2:57:47,Fy'ra,Arcana,Nat1,1,,,,
ExU1-05,3:00:38,Opal,Athletics,18,17,,,,
ExU1-05,3:02:52,Fy'ra,Perception,16,,,,,
ExU1-05,3:02:53,Opal,Perception,14,,,,,
ExU1-05,3:02:53,Fearne,Perception,19,,,,,
ExU1-05,3:02:55,Orym,Perception,Nat20,20,,,,
ExU1-05,3:02:57,Dariax,Perception,4,,,,,
ExU1-05,3:05:10,Dorian,Strength,Nat20,20,,,,
ExU1-05,3:06:17,Dariax,Healing,6,,,Fy'ra heals 6,,
ExU1-05,3:09:13,Dorian,Intelligence,8,,,,,
ExU1-05,3:10:51,Dariax,Intelligence Save,Unknown,Unknown,,,,"disregarded due to advantage, Favored by the Gods"
ExU1-05,3:10:51,Dariax,Intelligence Save,14,,,,,
ExU1-05,3:12:15,Dorian,Intelligence Save,17,,,,,
ExU1-05,3:14:00,Fy'ra,Wisdom,,3,,,,
ExU1-05,3:17:00,Dariax,Survival,19,18,,,,
ExU1-05,3:24:31,Fy'ra,Insight,18,,,,,
ExU1-05,3:29:45,Dorian,Charisma Save,16,12,,,,
ExU1-05,3:31:35,Orym,Perception,23,,,,,
ExU1-05,3:33:24,Dariax,Perception,13,,,,,
ExU1-05,3:36:07,Opal,Acrcana,Nat20,20,,,,
ExU1-05,3:39:51,Opal,Strength Save,9,,,,,
ExU1-05,3:41:57,Fearne,Performance,11,,,,,"disregarded due to advantage, DM Inspiration"
ExU1-05,3:41:57,Fearne,Performance,21,,,,,
ExU1-05,3:44:59,Fearne,Wisdom Save,Nat1,1,,,,
ExU1-05,3:50:55,Fearne,Wisdom Save,18,,,,,
